frame,t,dt_us,accept,u0,v0,c0,u1,v1,c1
567,72.1119,6542.0,1,595.76,547.25,1.000,800.46,560.58,0.970
568,72.2546,3440.0,1,595.73,547.30,1.000,800.48,560.78,0.974
569,72.3945,6531.0,1,594.27,547.63,1.000,799.88,560.92,0.961
570,72.5351,6544.0,1,591.26,548.40,1.000,799.11,560.83,0.949
571,72.6782,6540.0,1,591.23,548.50,1.000,799.03,560.92,0.946
572,72.8127,3428.0,1,591.27,548.56,1.000,799.06,561.12,0.954
573,72.9578,3438.0,1,591.25,548.66,1.000,799.09,561.10,0.959
574,73.0990,3432.0,1,591.13,548.89,1.000,798.91,561.34,0.958
575,73.2432,6554.0,1,591.16,548.95,1.000,798.94,561.31,0.957
576,73.3829,6549.0,1,588.22,549.26,1.000,797.90,561.48,0.972
577,73.5251,6550.0,1,588.24,549.43,1.000,797.91,561.52,0.974
578,73.6616,6554.0,1,588.32,549.62,1.000,797.93,561.60,0.971
579,73.7994,6536.0,1,588.43,549.74,1.000,797.95,561.77,0.974
580,73.9418,6557.0,1,588.49,549.96,1.000,797.92,561.87,0.968
581,74.0848,6549.0,1,588.57,550.10,1.000,797.94,561.98,0.963
582,74.2274,6575.0,1,588.63,550.25,1.000,797.93,562.03,0.955
583,74.3697,6560.0,1,588.69,550.39,1.000,797.91,562.13,0.962
584,74.5056,6553.0,1,588.72,550.37,1.000,797.90,562.15,0.964
585,74.6460,3421.0,1,588.75,550.56,1.000,797.90,562.23,0.965
586,74.7864,3423.0,1,588.76,550.69,1.000,797.91,562.33,0.963
587,74.9236,3428.0,1,588.70,550.84,1.000,797.86,562.43,0.959
588,75.0642,3414.0,1,588.75,550.85,1.000,797.87,562.47,0.954
589,75.2102,6570.0,1,588.78,550.98,1.000,797.88,562.50,0.958
590,75.3445,6562.0,1,588.80,551.02,1.000,797.90,562.55,0.965
591,75.4812,3419.0,1,588.77,551.25,1.000,797.92,562.59,0.957
592,75.6206,3425.0,1,587.99,551.67,1.000,798.30,562.77,0.960
593,75.7641,6567.0,1,587.91,551.53,1.000,798.30,562.83,0.963
594,75.9046,3418.0,1,587.97,551.73,1.000,798.27,562.92,0.967
595,76.0447,3413.0,1,587.85,551.85,1.000,798.26,562.91,0.963
596,76.1831,3406.0,1,587.79,552.06,1.000,798.12,563.02,0.969
597,76.3211,3411.0,1,587.84,552.11,1.000,798.14,562.97,0.972
598,76.4600,6572.0,1,588.18,552.24,1.000,797.84,563.07,0.976
599,76.6021,3411.0,1,595.41,551.62,1.000,793.49,562.65,0.959
600,76.7430,3411.0,1,605.80,550.71,1.000,791.80,562.34,0.952
601,76.8840,3411.0,1,614.44,549.89,1.000,792.24,562.25,0.945
602,77.0249,6568.0,1,623.55,549.04,1.000,792.90,562.06,0.948
603,77.1687,6574.0,1,628.24,549.11,1.000,796.07,562.18,0.916
604,77.3082,6577.0,1,633.83,548.91,1.000,797.96,562.19,0.903
605,77.4467,6577.0,1,641.64,547.95,1.000,801.90,562.73,0.906
606,77.5879,6575.0,1,651.96,547.60,1.000,804.83,562.82,0.899
607,77.7304,6572.0,1,660.29,546.60,1.000,812.01,563.37,0.885
